,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
219,The Wedding Plan,"$1,412,404",Roadside Attractions,Romantic Comedy,PG,"May 12, 2017",1 hrs. 50 min.,N/A,N/A,N/A,N/A
220,Wonder Wheel,"$1,404,061",Amazon Studios,Drama,PG-13,"December 1, 2017",1 hrs. 41 min.,N/A,Woody Allen,N/A,"Juno Temple,Justin Timberlake,Kate Winslet"
221,My Friend Dahmer,"$1,361,611",FilmRise,Drama,R,"November 3, 2017",1 hrs. 47 min.,N/A,N/A,N/A,N/A
222,The Dinner,"$1,323,312",The Orchard,Drama / Thriller,R,"May 5, 2017",2 hrs. 0 min.,N/A,N/A,N/A,"Richard Gere,Chloe Sevigny,Steve Coogan,Laura Linney,Rebecca Hall"
223,Personal Shopper,"$1,305,195",IFC,Thriller,R,"March 10, 2017",1 hrs. 46 min.,N/A,N/A,N/A,Kristen Stewart
224,Churchill,"$1,281,258",Cohen Media Group,Drama,PG,"June 2, 2017",1 hrs. 38 min.,N/A,N/A,N/A,"Brian Cox,John Slattery"
225,The Sense of an Ending,"$1,274,420",CBS Films,Drama,PG-13,"March 10, 2017",1 hrs. 48 min.,N/A,N/A,N/A,Jim Broadbent
226,Chonda Pierce: Enough,"$1,260,116",Fathom,Documentary,Unrated,"April 25, 2017",1 hrs. 30 min.,N/A,N/A,N/A,N/A
227,3 Idiotas,"$1,249,233",Pantelion,Comedy,PG-13,"June 2, 2017",1 hrs. 46 min.,N/A,N/A,N/A,N/A
228,True to the Game,"$1,231,040",Faith Media,Drama,R,"September 8, 2017",1 hrs. 48 min.,N/A,N/A,N/A,N/A
229,Steve McQueen: American Icon,"$1,229,782",Fathom,Documentary,Unrated,"September 28, 2017",2 hrs. 10 min.,N/A,N/A,N/A,N/A
230,The Women's Balcony,,Menemsha,Comedy / Drama,Unrated,"March 3, 2017",1 hrs. 36 min.,N/A,N/A,N/A,N/A
231,Spirited Away (Fathom Event),,Fathom,Animation,PG,"October 27, 2017",2 hrs. 4 min.,N/A,N/A,N/A,N/A
232,The Trip to Spain,"$1,157,604",IFC,Comedy,Not Yet Rated,"August 11, 2017",1 hrs. 50 min.,N/A,Michael Winterbottom,N/A,Steve Coogan
233,Step (2017),"$1,146,292Domestic Lifetime Gross $1,154,982",Fox Searchlight,Documentary,PG,"August 4, 2017",1 hrs. 23 min.,N/A,N/A,N/A,N/A
234,Lady Macbeth,"$1,129,408",Roadside Attractions,Drama,R,"July 14, 2017",1 hrs. 30 min.,N/A,N/A,N/A,N/A
235,Viceroy's House,"$1,105,717",IFC,Drama,Not Yet Rated,"September 1, 2017",1 hrs. 46 min.,N/A,N/A,N/A,Gillian Anderson
236,The Battleship Island,,CJ Entertainment,Foreign,Unrated,"July 26, 2017",2 hrs. 12 min.,N/A,N/A,N/A,N/A
237,Wonderstruck,"$1,060,377",Roadside Attractions,Drama,PG,"October 20, 2017",1 hrs. 57 min.,N/A,N/A,N/A,"Julianne Moore,Michelle Williams"
238,Terminator 2: Judgment Day 3D,"$1,037,809Domestic Lifetime Gross $205,881,154",Distrib Films,Sci-Fi Action,R,"August 25, 2017",2 hrs. 17 min.,N/A,N/A,N/A,N/A
239,Film Stars Don't Die in Liverpool,"$1,026,124",Sony Classics,Drama,R,"December 29, 2017",1 hrs. 45 min.,N/A,N/A,N/A,N/A
