,Name,Domestic Total Gross,Distributor,Genre,MPAA Rating,Release Date,Runtime,Production Budget,Director,Producer,Actor
33,Agnes of God,"$25,627,836",Columbia,Drama / Thriller,PG-13,"September 13, 1985",1 hrs. 40 min.,N/A,N/A,N/A,Anne Bancroft
34,Fright Night,"$24,922,237",Columbia,Horror Comedy,R,"August 2, 1985",1 hrs. 46 min.,N/A,N/A,N/A,N/A
35,Summer Rental,"$24,689,703",Paramount,Comedy,PG,"August 9, 1985",1 hrs. 26 min.,N/A,N/A,N/A,N/A
36,The Emerald Forest,"$24,468,550",Embassy,Adventure,R,"July 5, 1985",1 hrs. 54 min.,N/A,N/A,N/A,N/A
37,Weird Science,"$23,834,048",Universal,Sci-Fi Comedy,PG-13,"August 2, 1985",1 hrs. 34 min.,N/A,John Hughes,Joel Silver,"Bill Paxton,Robert Downey, Jr."
38,Santa Claus: The Movie,"$23,717,291",TriStar,Family Adventure,PG,"November 27, 1985",1 hrs. 48 min.,$50 million,N/A,N/A,N/A
39,The Care Bears Movie ,"$22,934,622",Samuel Goldwyn,Animation,G,"March 29, 1985",1 hrs. 17 min.,$2 million,N/A,N/A,N/A
40,Friday the 13th - Part V,"$21,930,418",Paramount,Horror,R,"March 22, 1985",1 hrs. 32 min.,N/A,N/A,N/A,N/A
41,The Black Cauldron,"$21,288,692",Buena Vista,Animation,PG,"July 26, 1985",1 hrs. 20 min.,N/A,N/A,N/A,N/A
42,Porky's Revenge (Part III),"$20,518,905",Fox,Comedy,R,"March 22, 1985",1 hrs. 32 min.,N/A,N/A,N/A,N/A
43,Code of Silence,"$20,345,361",Orion Pictures,Action,R,"May 3, 1985",1 hrs. 41 min.,N/A,Andrew Davis,N/A,Chuck Norris
44,Volunteers,"$19,875,740",TriStar,Comedy,R,"August 16, 1985",1 hrs. 47 min.,N/A,N/A,N/A,Tom Hanks
45,Young Sherlock Holmes,"$19,739,575",Paramount,Period Adventure,PG-13,"December 6, 1985",1 hrs. 48 min.,N/A,Barry Levinson,"Mark Johnson,Kathleen Kennedy,Frank Marshall,Steven Spielberg",N/A
46,Year of the Dragon,"$18,707,466",MGM,Action / Crime,R,"August 16, 1985",2 hrs. 14 min.,N/A,Michael Cimino,N/A,Mickey Rourke
47,Ladyhawke,"$18,432,000",Warner Bros.,Romantic Adventure,PG-13,"April 12, 1985",2 hrs. 1 min.,N/A,Richard Donner,Lauren Schuler Donner,"Matthew Broderick,Rutger Hauer,Michelle Pfeiffer"
48,The Sure Thing,"$18,135,531",MGM,Romantic Comedy,PG-13,"March 1, 1985",1 hrs. 35 min.,N/A,Rob Reiner,Roger Birnbaum,John Cusack
49,Invasion U.S.A.,"$17,536,256",Cannon Films,Action,R,"September 27, 1985",1 hrs. 50 min.,N/A,N/A,N/A,Chuck Norris
50,To Live and Die in L.A.,"$17,307,019",MGM,Action Thriller,R,"November 1, 1985",1 hrs. 56 min.,N/A,William Friedkin,N/A,Willem Dafoe
51,The Falcon and the Snowman,"$17,130,087",Orion Pictures,Drama / Thriller,R,"January 25, 1985",2 hrs. 12 min.,N/A,N/A,N/A,Sean Penn
